Year,Language,Lan_UsPct,Lan_UsPct_avg3,Lan_UsPct_avg4,Lan_UsPct_avg5,Lang_Enrol_Pct_avg3,Lang_Enrol_Pct_avg4,Lang_Enrol_Pct_avg5,Eng_LesVw_Pop_UsPct_avg3,Eng_LesVw_Pop_UsPct_avg4,Eng_LesVw_Pop_UsPct_avg5,HEdu_Pct_avg3,HEdu_Pct_avg4,HEdu_Pct_avg5,Inc_Ratio_avg3,Inc_Ratio_avg4,Inc_Ratio_avg5,Pvt_Ratio_avg3,Pvt_Ratio_avg4,Pvt_Ratio_avg5,Intl_Stud_Pct_avg3,Intl_Stud_Pct_avg4,Intl_Stud_Pct_avg5,Trade_Pct_avg3,Trade_Pct_avg4,Trade_Pct_avg5
1998,Vietnamese,0.006,0.007,0.007,0.007,0.087,0.088,0.084,0.21,0.205,0.198,18.2,18.125,18.06,0.08,0.075,0.07,0.56,0.593,0.628,0.233,0.225,0.22,0.047,0.04,0.032
1999,Vietnamese,0.008,0.006,0.006,0.007,0.083,0.085,0.086,0.22,0.215,0.21,18.433,18.325,18.24,0.087,0.083,0.078,0.503,0.532,0.564,0.267,0.25,0.24,0.053,0.048,0.042
2000,Vietnamese,0.01,0.007,0.007,0.007,0.083,0.085,0.086,0.23,0.225,0.22,18.7,18.575,18.46,0.087,0.085,0.082,0.45,0.478,0.506,0.333,0.3,0.28,0.047,0.052,0.048
2001,Vietnamese,0.012,0.008,0.007,0.007,0.097,0.092,0.092,0.237,0.232,0.228,19.033,18.875,18.74,0.08,0.083,0.082,0.403,0.428,0.454,0.367,0.35,0.32,0.053,0.05,0.054
2002,Vietnamese,0.013,0.01,0.009,0.008,0.117,0.108,0.102,0.24,0.238,0.234,19.433,19.25,19.08,0.067,0.073,0.076,0.36,0.382,0.406,0.4,0.375,0.36,0.063,0.06,0.056
2003,Vietnamese,0.013999999999999999,0.012,0.011,0.01,0.14,0.128,0.118,0.24,0.24,0.238,19.933,19.7,19.5,0.05,0.058,0.064,0.323,0.342,0.364,0.433,0.425,0.4,0.1,0.088,0.08
2004,Vietnamese,0.013999999999999999,0.013,0.012,0.011,0.157,0.148,0.136,0.237,0.238,0.238,20.5,20.225,19.98,0.03,0.04,0.048,0.293,0.31,0.328,0.5,0.475,0.46,0.177,0.148,0.128
2005,Vietnamese,0.013999999999999999,0.014,0.013,0.013,0.167,0.16,0.152,0.23,0.232,0.234,21.1,20.8,20.52,0.01,0.02,0.03,0.267,0.28,0.296,0.567,0.525,0.5,0.243,0.202,0.174
2006,Vietnamese,0.013999999999999999,0.014,0.014,0.013,0.167,0.165,0.16,0.223,0.227,0.23,21.733,21.425,21.12,-0.01,0,0.01,0.247,0.258,0.27,0.667,0.625,0.58,0.29,0.258,0.222
2007,Vietnamese,0.013999999999999999,0.014,0.014,0.014,0.163,0.165,0.164,0.22,0.222,0.226,22.4,22.075,21.76,-0.027,-0.018,-0.008,0.227,0.238,0.248,0.8,0.75,0.7,0.303,0.3,0.272
2008,Vietnamese,0.013999999999999999,0.014,0.014,0.014,0.16,0.162,0.164,0.217,0.218,0.22,23.067,22.725,22.4,-0.037,-0.03,-0.022,0.213,0.22,0.23,1.067,0.95,0.88,0.343,0.328,0.32
2009,Vietnamese,0.013,0.014,0.014,0.014,0.16,0.16,0.162,0.213,0.215,0.216,23.7,23.375,23.04,-0.037,-0.035,-0.03,0.2,0.207,0.214,1.433,1.275,1.14,0.393,0.37,0.352
2010,Vietnamese,0.013,0.014,0.014,0.014,0.16,0.16,0.16,0.213,0.215,0.216,24.267,23.975,23.66,-0.023,-0.028,-0.028,0.19,0.195,0.202,1.733,1.55,1.4,0.477,0.44,0.412
2011,Vietnamese,0.012,0.013,0.013,0.014,0.157,0.158,0.158,0.22,0.218,0.218,24.767,24.5,24.22,0.003,-0.008,-0.014,0.18,0.185,0.19,1.967,1.825,1.66,0.537,0.502,0.468
2012,Vietnamese,0.011000000000000001,0.013,0.013,0.013,0.15,0.152,0.154,0.23,0.225,0.222,25.133,24.925,24.68,0.04,0.023,0.01,0.173,0.177,0.182,2,1.975,1.86,0.58,0.547,0.518
2013,Vietnamese,0.01,0.012,0.012,0.013,0.143,0.148,0.15,0.233,0.23,0.226,25.433,25.275,25.08,0.063,0.048,0.032,0.177,0.177,0.18,2.033,2,1.98,0.6,0.595,0.566
2014,Vietnamese,0.01,0.011,0.012,0.012,0.137,0.14,0.144,0.23,0.23,0.228,26.333,26.05,25.8,0.083,0.073,0.058,0.173,0.172,0.174,1.967,2,1.98,0.66,0.64,0.628
2015,Vietnamese,0.01,0.01,0.011,0.011,0.133,0.135,0.138,0.227,0.23,0.23,27.333,26.85,26.52,0.093,0.09,0.08,0.16,0.162,0.164,1.933,1.95,1.98,0.767,0.72,0.692
2016,Vietnamese,0.01,0.01,0.01,0.011,0.13,0.132,0.134,0.227,0.227,0.23,28.267,27.625,27.18,0.1,0.093,0.09,0.157,0.165,0.166,1.967,1.975,1.98,0.95,0.873,0.814
2017,Vietnamese,0.01,0.01,0.01,0.01,0.133,0.132,0.134,0.23,0.227,0.228,28.5,28.35,27.82,0.097,0.098,0.092,0.14,0.145,0.154,2.033,2,2,1.17,1.068,0.982
2018,Vietnamese,0.01,0.01,0.01,0.01,0.14,0.138,0.136,0.227,0.227,0.226,29.167,28.975,28.76,0.083,0.09,0.092,0.14,0.137,0.142,2.133,2.075,2.04,1.337,1.228,1.134
2019,Vietnamese,0.01,0.01,0.01,0.01,0.15,0.145,0.142,0.223,0.225,0.226,30.1,29.7,29.44,0.083,0.085,0.09,0.123,0.137,0.136,2.167,2.15,2.1,1.403,1.35,1.26
2020,Vietnamese,0.011000000000000001,0.01,0.01,0.01,0.157,0.152,0.148,0.22,0.222,0.224,31.233,30.575,30.16,0.087,0.088,0.088,0.077,0.085,0.104,2.2,2.175,2.16,1.547,1.515,1.45
2021,Vietnamese,0.011000000000000001,0.01,0.01,0.01,0.163,0.16,0.156,0.22,0.22,0.222,32.033,31.625,31.02,0.1,0.093,0.092,-0.003,0.03,0.046,2.267,2.25,2.22,1.87,1.752,1.686
