Year,Language,Pop,Pop_UsPct,Lang_Pop,Lang_Pop_UsPct,Eng_LesVw_Pop,Eng_LesVw_Pop_UsPct,HEdu_Pop,HEdu_UsPct,HEdu_Pct,HEdu_Ratio,Med_Inc,Inc_Ratio,Pvt_Pct,Pvt_Ratio
1991,Vietnamese,662398,0.0027,557284,0.0022,358823,0.0014,58854,0.0017,0.175,0.85,31780,1.01,0.246,1.92
1992,Vietnamese,711558,0.0028,609266,0.0024,398415,0.0016,65178,0.0019,0.177,0.85,33785,1.03,0.236,1.84
1993,Vietnamese,761782,0.003,662356,0.0025,438748,0.0017,71951,0.002,0.178,0.84,35746,1.05,0.225,1.77
1994,Vietnamese,812823,0.0031,715894,0.0027,478932,0.0019,79208,0.0021,0.179,0.83,37628,1.06,0.215,1.69
1995,Vietnamese,864438,0.0033,769221,0.0029,518076,0.002,86982,0.0023,0.18,0.82,39390,1.07,0.205,1.62
1996,Vietnamese,916381,0.0034,821679,0.0031,555290,0.0021,95309,0.0024,0.182,0.81,40996,1.08,0.195,1.56
1997,Vietnamese,968407,0.0036,872607,0.0032,589683,0.0022,104222,0.0025,0.184,0.81,42406,1.09,0.186,1.5
1998,Vietnamese,1020270,0.0037,921347,0.0034,620364,0.0023,113755,0.0027,0.187,0.8,43583,1.09,0.177,1.45
1999,Vietnamese,1071725,0.0039,967240,0.0035,646443,0.0024,123943,0.0028,0.19,0.8,44489,1.08,0.168,1.4
2000,Vietnamese,1122528,0.004,1009625,0.0036,667030,0.0024,134820,0.003,0.194,0.8,45085,1.07,0.16,1.36
2001,Vietnamese,1172517,0.0041,1048092,0.0037,681584,0.0024,146400,0.0032,0.199,0.8,45360,1.05,0.153,1.32
2002,Vietnamese,1221871,0.0042,1083220,0.0038,690968,0.0024,158615,0.0033,0.205,0.81,45408,1.03,0.146,1.29
2003,Vietnamese,1270853,0.0044,1115836,0.0038,696394,0.0023,171379,0.0035,0.211,0.82,45350,1.01,0.14,1.27
2004,Vietnamese,1319725,0.0045,1146768,0.0039,699074,0.0022,184603,0.0036,0.217,0.82,45308,0.99,0.135,1.24
2005,Vietnamese,1368750,0.0046,1176842,0.0039,700220,0.0022,198200,0.0038,0.224,0.84,45401,0.97,0.131,1.23
2006,Vietnamese,1418190,0.0047,1206886,0.004,701045,0.0022,212083,0.004,0.231,0.85,45753,0.96,0.128,1.21
2007,Vietnamese,1468309,0.0049,1237726,0.004,702761,0.0021,226163,0.0041,0.237,0.86,46483,0.96,0.127,1.2
2008,Vietnamese,1519370,0.005,1270191,0.0041,706582,0.0021,240355,0.0043,0.243,0.87,47712,0.97,0.127,1.19
2009,Vietnamese,1571634,0.0051,1305106,0.0042,713718,0.0022,254569,0.0045,0.248,0.88,49562,1,0.129,1.18
2010,Vietnamese,1625365,0.0053,1343300,0.0043,725382,0.0023,268719,0.0047,0.252,0.89,52153,1.04,0.132,1.17
2011,Vietnamese,1669447,0.0054,1377638,0.0044,734281,0.0024,279926,0.0048,0.254,0.89,54670,1.08,0.137,1.17
2012,Vietnamese,1675246,0.0053,1382539,0.0044,716155,0.0023,287086,0.0047,0.257,0.88,55022,1.07,0.14,1.19
2013,Vietnamese,1692760,0.0054,1382274,0.0044,704960,0.0022,316841,0.0051,0.279,0.94,57441,1.1,0.134,1.16
2014,Vietnamese,1714143,0.0054,1405697,0.0044,722528,0.0023,335397,0.0052,0.284,0.94,59405,1.11,0.128,1.13
2015,Vietnamese,1738848,0.0054,1421196,0.0044,726231,0.0023,339546,0.0051,0.285,0.93,60983,1.09,0.125,1.18
2016,Vietnamese,1803575,0.0056,1466322,0.0045,736094,0.0023,355861,0.0052,0.286,0.91,62958,1.09,0.111,1.11
2017,Vietnamese,1826998,0.0056,1456939,0.0045,712443,0.0022,387702,0.0055,0.304,0.95,64586,1.07,0.107,1.13
2018,Vietnamese,1862395,0.0057,1484174,0.0045,715372,0.0022,409678,0.0056,0.313,0.96,67331,1.09,0.105,1.13
2019,Vietnamese,1873707,0.0057,1513311,0.0046,729416,0.0022,428493,0.0058,0.32,0.97,72161,1.1,0.083,0.97
2020,Vietnamese,1877524,0.0057,1513660,0.0046,728972,0.0022,445968,0.0059,0.328,0.98,76583,1.11,0.071,0.89
2021,Vietnamese,1896690,0.0057,1458277,0.0044,689765,0.0021,462866,0.0058,0.339,0.97,77884,1.12,0.104,1.14
